Language	Chapter	Number	Text
ENG	10036	1	"Version informations"
FRA	10036	1	"Informations version"
XXX	10036	1	"3321131E79DA9D063854B5CECC9FC17730A525A8"
ENG	10036	2	"Applications"
FRA	10036	2	"==="
XXX	10036	2	"E0EE0F0564711269876138E6B2B3FF342BA3C419"
ENG	10036	3	"Applications management interface"
FRA	10036	3	"Gestion des applications"
XXX	10036	3	"8D4FDADDF74C6E4052738A1B836FFE8BBFACEE07"
ENG	10036	4	"Global settings"
FRA	10036	4	"Paramètres"
XXX	10036	4	"F3B03320B7E065CFA86E40A17813899588400BBB"
ENG	10036	5	"Global settings management interface"
FRA	10036	5	"Gestion des paramètres globaux"
XXX	10036	5	"DA95CAB80A6E6AC89EBB023B8C1559328D2A5E9F"
ENG	10036	6	"Roles"
FRA	10036	6	"Rôles"
XXX	10036	6	"F0AE432CD13D16092630808C572A7A9812FC75ED"
ENG	10036	7	"User roles management interface"
FRA	10036	7	"Gestion des rôles utilisateur"
XXX	10036	7	"971EFEDDAC1AB4683A09950A002DEBDD499DD211"
ENG	10036	8	"Badges"
FRA	10036	8	"==="
XXX	10036	8	"4914C723A458CAB06C9A733BA32F99E1DCA19B04"
ENG	10036	9	"Badges"
FRA	10036	9	"==="
XXX	10036	9	"D03F704D1A3DAA5A773EC7ADA364151CA8CF35F1"
ENG	10036	10	"Licenses"
FRA	10036	10	"Licences"
XXX	10036	10	"62E5091A0836A3ACEBA6ECCE36CB2EBD88EE6208"
ENG	10036	11	"License management"
FRA	10036	11	"Licences"
XXX	10036	11	"FEC185D9D7F07420E057C4958B08B253362A38D0"
ENG	10036	12	"License data"
FRA	10036	12	"Détail des licences"
XXX	10036	12	"5CA4589736ED4B4A39FEFB6EA5759A2CB1924347"
ENG	10036	13	"License data"
FRA	10036	13	"Détail des licences"
XXX	10036	13	"354E76BCF620A066C002C26144C3D33CC4FDAE67"
ENG	10036	14	"Certificates"
FRA	10036	14	"Certificats"
XXX	10036	14	"9BBB08105C27F33139146B84ABB475CAE91B28A4"
ENG	10036	15	"Certificates"
FRA	10036	15	"Certificats"
XXX	10036	15	"01577775AF202054354E5968D0629F963603CB2B"
ENG	10036	16	"Certificates of Certification Authorities"
FRA	10036	16	"Certificats des Autorités de certification"
XXX	10036	16	"352B039B6FEA8308F7B22AF4F55DF1A4457AE21D"
ENG	10036	17	"Certificates of Certification Authorities"
FRA	10036	17	"Certificats des Autorités de certification"
XXX	10036	17	"65453F00B0F3CA6242C72103A07ADEF074B65F5D"
ENG	10036	18	"Proxies configuration"
FRA	10036	18	"Configuration des proxy"
XXX	10036	18	"F90875BC5A20B80D8BFC33E72D5CE5D7CCC3B384"
ENG	10036	19	"Proxies configuration interface"
FRA	10036	19	"Configuration des proxy"
XXX	10036	19	"EB3D7D8835F29A16ED114B274D98ED0586100991"
ENG	10036	20	"Hosts"
FRA	10036	20	"Serveurs Syracuse"
XXX	10036	20	"81945C369B88C120F0D45A6FB1BF6EB6495036F5"
ENG	10036	21	"Hosts"
FRA	10036	21	"Serveurs Syracuse"
XXX	10036	21	"3DBA55342D423C4F1E5A71242D6E292E49D08AD9"
ENG	10036	22	"Soap Web Services"
FRA	10036	22	"Services Web Soap"
XXX	10036	22	"21D736A83F487ADC3665ACE6150D1A52323FCD8D"
ENG	10036	23	"Soap Web Services"
FRA	10036	23	"Services Web Soap"
XXX	10036	23	"FE32B3F1F5431E692E789138ABD9EA4F21BF5940"
ENG	10036	24	"X3 Servers"
FRA	10036	24	"Serveurs X3"
XXX	10036	24	"39A29EFDEA74C83127DF7DA37958662AB1BF8F0A"
ENG	10036	25	"X3 Servers management interface"
FRA	10036	25	"Gestion des serveurs X3"
XXX	10036	25	"58099186DDA02EECA19611CB059DEC94813F074A"
ENG	10036	26	"LDAP Servers"
FRA	10036	26	"Serveurs LDAP"
XXX	10036	26	"12D9BB1B0B928A218324A14A9C4D1C1321F51975"
ENG	10036	27	"LDAP Servers management interface"
FRA	10036	27	"Gestion des serveurs LDAP"
XXX	10036	27	"05879B65037F23CA95DEF8018F3E08F7A4D5F118"
ENG	10036	28	"OAuth2 Servers"
FRA	10036	28	"Serveurs OAuth2"
XXX	10036	28	"0023CF03A63AABACD13E19EFBD2A62E9EF64239E"
ENG	10036	29	"OAuth2 Servers management interface"
FRA	10036	29	"Gestion des serveurs OAuth2"
XXX	10036	29	"36587D7F7C0B1429CAF31AFA4C56724D206A1D61"
ENG	10036	30	"Scheduler"
FRA	10036	30	"Automates"
XXX	10036	30	"4D6C4423DAF7E36F2B86BF7D5D1F2C3515196093"
ENG	10036	31	"Scheduler"
FRA	10036	31	"Automates"
XXX	10036	31	"3E8108D349416EAB3DB276CA588EFABB765B172D"
CHI	10036	32	"接入点管理"
ENG	10036	32	"Endpoints"
FRA	10036	32	"Points d'accès"
POL	10036	32	"Punkty dostępu"
RUS	10036	32	"Конечные показатели"
XXX	10036	32	"1A9080D366E3E99FDAC76875EAFBCF5752AC6C49"
CHI	10036	33	"endPoint"
ENG	10036	33	"Service access endpoints management"
FRA	10036	33	"Gestion des points d'accès au services"
POL	10036	33	"endPoint"
RUS	10036	33	"endPoint"
XXX	10036	33	"3AD1E5602B69B7998CAD9B1055DFDF6169059BC3"
ENG	10036	34	"Users"
FRA	10036	34	"Utilisateurs"
XXX	10036	34	"45103C1A7E4FDA7DF2E8EC538D5E5BC811E9F62D"
ENG	10036	35	"Users management interface"
FRA	10036	35	"Gestion des utilisateurs"
XXX	10036	35	"136BEF9F485F4C618F51A6CDE7C636C6165590FD"
ENG	10036	36	"Groups"
FRA	10036	36	"Groupes"
XXX	10036	36	"EBDDFA9FFAAFA684645A1DFBCA70668F2B8E432B"
ENG	10036	37	"Groups management"
FRA	10036	37	"Gestion des groupes d'utilisateur"
XXX	10036	37	"16B2C9B75D25B87EE9B17E43269DD35DB2188966"
ENG	10036	38	"BO Profiles"
XXX	10036	38	"C48502E1FDCC4D81100E89F1F9F1231E824AA7CE"
ENG	10036	39	"BO Servers"
XXX	10036	39	"0D9D679B0C0A6B02435B2F1B8FBC7E1836C1CDE2"
ENG	10036	40	"Locales"
FRA	10036	40	"Préférences régionales"
XXX	10036	40	"B650150CBF2E0D989CCCD8ADCF2CDBC07FF4C78C"
ENG	10036	41	"Locales management interface"
FRA	10036	41	"Gestion des préférences régionales"
XXX	10036	41	"EAE29CBE1CB1EB627A4E5A27B184D729AE3FE2D5"
ENG	10036	42	"Server logs"
FRA	10036	42	"Traces serveur"
XXX	10036	42	"0BE88E3F94B584D63525FAAEB80C5C92BE07E45B"
ENG	10036	43	"Server logs"
FRA	10036	43	"Traces serveur"
XXX	10036	43	"8C2398B6DDEB3335E58E54F52D9DA95A5C4BFCFD"
ENG	10036	44	"Import sessions"
FRA	10036	44	"Sessions d'import"
XXX	10036	44	"4FBBFE8FECBB411956204BF83F6788F9EC2A8709"
ENG	10036	45	"Import sessions"
FRA	10036	45	"Sessions d'import"
XXX	10036	45	"6F79A7FF2A126EF88EAC6A2F12FAC0EB22A9D927"
ENG	10036	46	"Security profiles"
FRA	10036	46	"Profiles de sécurité"
XXX	10036	46	"8014E1F3ED72E88E0C95D41E48EED6996539322B"
ENG	10036	47	"Security profiles"
FRA	10036	47	"Profiles de sécurité"
XXX	10036	47	"9A82CC25365832B403B75646753F956B23116066"
ENG	10036	48	"X3 session configuration"
XXX	10036	48	"82107BCA89EFA054DC419E5B0E76989D05040C48"
ENG	10036	49	"HRM Sites"
XXX	10036	49	"8660F876E8C35F636F2165532794F2114893C9B1"
ENG	10036	50	"HRM Sites"
XXX	10036	50	"B8CCBFA63A67705E8FF29B7C676FA94B7CC3C694"
ENG	10036	51	"HRM Servers"
XXX	10036	51	"3C5D3FDAFC869EA5789F0C1C1E691CFB347291DA"
ENG	10036	52	"HRM Servers"
XXX	10036	52	"D7D7D4333235A701A2DB26A955257004AC3229CF"
ENG	10036	53	"Teams"
FRA	10036	53	"Collaborateurs"
XXX	10036	53	"B578EE37E310D90AFD8467F7F3F0444640F7202C"
ENG	10036	54	"Teams management"
FRA	10036	54	"Gestion de collaborateurs"
XXX	10036	54	"F179AAA28B438597D7235FBD09DD8CD53D4CAFCE"
ENG	10036	55	"Volumes"
FRA	10036	55	"==="
XXX	10036	55	"FA8D7EDF7A9A28A9F52DB79975ADD483DFF4E219"
ENG	10036	56	"Storage volumes"
FRA	10036	56	"Volumes de stockage"
XXX	10036	56	"2CA307335BD056E4A9003E4004017B9BAAFF89FD"
ENG	10036	57	"Documents"
FRA	10036	57	"==="
XXX	10036	57	"D740D7CD7B056848BFA044B6CFAE62FB94DC985A"
ENG	10036	58	"Document management"
FRA	10036	58	"Gestion de documents"
XXX	10036	58	"02F0789F56BB4B55CC32FB64114ABE12860D7EB0"
ENG	10036	59	"Document tags"
FRA	10036	59	"Etiquettes de document"
XXX	10036	59	"A662FB628E115E7CA94162C4BB4393C982B59CAA"
ENG	10036	60	"Document tags"
FRA	10036	60	"Gestion des etiquettes"
XXX	10036	60	"A139FF6D82F41BE9B0E3CD7989470C877D12526D"
ENG	10036	61	"Tags categories"
FRA	10036	61	"Categories d'étiquettes de document"
XXX	10036	61	"3067B183C0ADD64740FD1DD1F2FFA6B08A238D2A"
ENG	10036	62	"Tags categories"
FRA	10036	62	"Categories d'étiquettes de document"
XXX	10036	62	"DF59B493D0AE93122EB9C2FAB4E734CB74596954"
ENG	10036	63	"Word templates"
FRA	10036	63	"Modèles de document Word"
XXX	10036	63	"747DBF46EBDADB91DC89D9E4D2603D580EED6BDD"
ENG	10036	64	"Word templates"
FRA	10036	64	"Modèles de document Word"
XXX	10036	64	"3EF8A7EC44B764E8BBA53FBB85BF8206F1801A9F"
ENG	10036	65	"Pages"
FRA	10036	65	"==="
XXX	10036	65	"A5474631DFA23C11E635C66B60975A6D5615B76C"
ENG	10036	66	"Pages management interface"
FRA	10036	66	"Gestion des pages"
XXX	10036	66	"459DB00CF9351994BDD3EC9068296D374EE80CC1"
ENG	10036	67	"Menu Items"
FRA	10036	67	"Entrées de menu"
XXX	10036	67	"18036B80C6E81629A3939B6DF8C4C5CEE1E2F7A3"
ENG	10036	68	"Menu items management interface"
FRA	10036	68	"Gestion des entrées de menu"
XXX	10036	68	"6561616B8FB4C4C5690A54FCBD95D5E54DF3675C"
ENG	10036	69	"Menu Categories"
FRA	10036	69	"Catégories de menu"
XXX	10036	69	"9DEF19CD0F8CC48D0174EB12F9157A133F73B3DC"
ENG	10036	70	"Menu categories management interface"
FRA	10036	70	"Gestion des catégories de menu"
XXX	10036	70	"29C06C044ACD2FA8EC8C4F307E8BB9F2328CFA65"
ENG	10036	71	"Personalizations management"
FRA	10036	71	"Gestion de personnalisations"
XXX	10036	71	"B0A648D713361B7D1F2F7964C90A82BFAD2F496A"
ENG	10036	72	"Menu Modules"
XXX	10036	72	"6F10F10CE1293E93CF25BA789FB508F11367D541"
ENG	10036	73	"Menu Submodules"
XXX	10036	73	"54A4BEC8FB2FEE0BFD309E3D2095A8D5A285ECE2"
CHI	10036	74	"导入工具"
ENG	10036	74	"Import Tool"
FRA	10036	74	"Outil d'import"
RUS	10036	74	"Инструменты импорта"
XXX	10036	74	"9966562E830D9CA2156CD03C471C20992439E7BA"
ENG	10036	75	"Import tool"
FRA	10036	75	"Outil d'import"
RUS	10036	75	"importTool"
XXX	10036	75	"A31AB09ECA74D25EAC754C28CE53AF7A2369CFE9"
ENG	10036	76	"Export profiles"
FRA	10036	76	"Profiles d'export"
XXX	10036	76	"77FCD98FED7EAA47F0127168D6328E1CCB923332"
ENG	10036	77	"Export profiles"
FRA	10036	77	"Profiles d'export"
XXX	10036	77	"2C123A2C6E76A963400DABFD1DF93C533AAA0AD1"
ENG	10036	78	"Resources packs"
FRA	10036	78	"Groupe de ressources"
XXX	10036	78	"0F527C93CCF397AA241C6B2B49013D9D96EEAE4C"
ENG	10036	79	"X3 Users import"
FRA	10036	79	"Import des utilisateurs X3"
XXX	10036	79	"C700C2B5EBC6B2991F8AD7CA3AB58FADAC4B5EBC"
ENG	10036	80	"X3 Users import"
FRA	10036	80	"Import des utilisateurs X3"
XXX	10036	80	"5B13899EB2BAE2155AD864D58ADC019EB2C26EE2"
CHI	10036	81	"搜索工具管理"
ENG	10036	81	"Search Index Management"
FRA	10036	81	"Gestion de l'outil de recherche"
RUS	10036	81	"Управление индексированным поиском"
XXX	10036	81	"387A5F636147C9D652E4B1BEC66CCC655F26A188"
CHI	10036	82	"searchAdmin"
ENG	10036	82	"Search Index Management"
FRA	10036	82	"Gestion de l'outil de recherche"
RUS	10036	82	"searchAdmin"
XXX	10036	82	"FF3EBDEFAE8E58D3B0A74665BA2941093ECBDAAF"
CHI	10036	83	"进程管理"
ENG	10036	83	"Web client sessions"
FRA	10036	83	"Gestion de sessions client web"
POL	10036	83	"Zarządzanie sesjami"
RUS	10036	83	"Управление сессиями системы"
XXX	10036	83	"1E8B286C63C8966968DE8D67F6D60719532C3A50"
CHI	10036	84	"sessionInfo"
ENG	10036	84	"Sessions Management"
FRA	10036	84	"Gestion de sessions"
POL	10036	84	"sessionInfo"
RUS	10036	84	"sessionInfo"
XXX	10036	84	"BA1430DC9D25C73D0170F69CD6D08A3C585B62B2"
ENG	10036	85	"Menu profile import"
XXX	10036	85	"3151843D5AE8CDA83BD2D5FEB914FCAFF00782C4"
ENG	10036	86	"Patch integration"
XXX	10036	86	"3ABA4093947499240002275584AE9C2542254176"
ENG	10036	87	"Classic client sessions"
XXX	10036	87	"6EC7C87156BD0889455929DF013E095592366559"
ENG	10036	88	"Clients reused list"
XXX	10036	88	"AA2935CF5891B9A7EAD3C25C72E07FBB414AC4EC"
FRA	10036	89	"Navigation pages"
XXX	10036	89	"317EA84640F8D3FE18370C6D62AA2D4BBAE97603"
FRA	10036	90	"Home pages"
XXX	10036	90	"03DE33C93941B749541C97D492F31C8C8FB595EA"
